,sweep,permcount,dH,pdeconfined,pconfined,action,wilson,acceptance,nmat,ndec,ntime,ntau,udtau,adtau,temperature,pdec,pdec_var,pcon,pcoeff,utau,atau,mdtu,freq
0,1.0,0.0,-0.03178023954387754,0.405010515892507,0.0,35.7755300228965,0.008780852854620136,1.0,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,1.2,
1,2.0,0.0,0.234459013561718,0.400801108449098,0.0,35.6506953424906,0.00976593024866977,1.0,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,2.4,1.2
2,3.0,0.0,-0.227698548696935,0.402404241126258,0.0,35.7482403231521,0.0141913263562608,1.0,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,3.5999999999999996,1.1999999999999997
3,4.0,0.0,9905.85159088532,0.402404241126258,0.0,35.7482403231521,0.0141913263562608,0.75,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,4.8,1.2000000000000002
4,5.0,0.0,1.47952695877757,0.402404241126258,0.0,35.7482403231521,0.0141913263562608,0.6,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,6.0,1.2000000000000002
5,6.0,0.0,0.01958590920548886,0.402784151426039,0.0,35.6925565680963,0.01066005384103583,0.666666666666667,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,7.199999999999999,1.1999999999999993
6,7.0,0.0,834.707454689196,0.402784151426039,0.0,35.6925565680963,0.01066005384103583,0.571428571428571,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,8.4,1.200000000000001
7,8.0,0.0,0.0368856352288276,0.404046962433471,0.0,35.7294829498356,0.009937750223396944,0.625,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,9.6,1.1999999999999993
8,9.0,0.0,0.200670918100514,0.399209759502556,0.0,35.7016048247802,0.009211136647677719,0.666666666666667,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,10.799999999999999,1.1999999999999993
9,10.0,0.0,4.43957643897738,0.399209759502556,0.0,35.7016048247802,0.009211136647677719,0.6,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,12.0,1.200000000000001
10,11.0,0.0,0.08928097516763955,0.395374725478397,0.0,35.6921305355826,0.00867288174857604,0.636363636363636,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,13.2,1.1999999999999993
11,12.0,0.0,6057463.08420849,0.395374725478397,0.0,35.6921305355826,0.00867288174857604,0.583333333333333,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,14.399999999999999,1.1999999999999993
12,13.0,0.0,-0.170575190917589,0.400907706649203,0.0,35.656341567882,0.01213091639669386,0.615384615384615,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,15.6,1.200000000000001
13,14.0,0.0,0.340024273609743,0.397181309151551,0.0,35.741929381934,0.01468510702997332,0.642857142857143,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,16.8,1.200000000000001
14,15.0,0.0,0.630090530146845,0.397181309151551,0.0,35.741929381934,0.01468510702997332,0.6,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,18.0,1.1999999999999993
15,16.0,0.0,1065756.00530994,0.397181309151551,0.0,35.741929381934,0.01468510702997332,0.5625,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,19.2,1.1999999999999993
16,17.0,0.0,0.20975053764414,0.397181309151551,0.0,35.741929381934,0.01468510702997332,0.529411764705882,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,20.4,1.1999999999999993
17,18.0,0.0,-0.616484353668056,0.402014375436953,0.0,35.6745261562348,0.009234465509320514,0.555555555555556,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,21.599999999999998,1.1999999999999993
18,19.0,0.0,-0.220776441623457,0.404239883573242,0.0,35.7426330572723,0.01187882147125754,0.578947368421053,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,22.8,1.2000000000000028
19,20.0,0.0,0.190479718032293,0.402506115155579,0.0,35.6578843154567,0.01008480045406043,0.6,96,96,24,1500,0.0008,0.0007,0.29,0.4,0.005,0.005,10000000.0,1.2,1.05,24.0,1.1999999999999993
