k1 k2
7.988738477251342007e-02 -1.638056742202419203e-02
7.942752197383365353e-02 -1.564351753143122803e-02
7.953823519880465209e-02 -1.591224128691906547e-02
7.916758690648673102e-02 -1.666256364714976956e-02
7.972923727540889849e-02 -1.692346261868385437e-02
7.964584923289769192e-02 -1.680116478174817352e-02
7.935300631447370079e-02 -1.606002643471432512e-02
8.135240740733570841e-02 -1.678375237570038647e-02
7.923184734307336941e-02 -1.647547605139851323e-02
8.013346666799575635e-02 -1.591631164886399274e-02
8.049322551977242113e-02 -1.563587831403434603e-02
7.978217597718273435e-02 -1.589019954907132381e-02
8.000977972042758180e-02 -1.587952097223271908e-02
7.985678950931537901e-02 -1.566815248805883409e-02
7.959264219384507011e-02 -1.606365019649502734e-02
7.990770981959582908e-02 -1.753730511193860031e-02
8.016040331940535446e-02 -1.647517882575479098e-02
8.096196607445041438e-02 -1.767190697926393494e-02
8.033372556062148839e-02 -1.572202898077901256e-02
8.020259149632757989e-02 -1.544129743111159747e-02
8.017714748068580088e-02 -1.659286757502055620e-02
7.874612650606344078e-02 -1.529756862476219781e-02
7.976826227317712625e-02 -1.554113007655694156e-02
8.002530349351497096e-02 -1.625359361036046724e-02
7.914763838917787675e-02 -1.699013486165933118e-02
8.009389601142788417e-02 -1.514386088197330893e-02
7.982819808887620106e-02 -1.761202062965806781e-02
8.035073613654031277e-02 -1.604202190282363882e-02
7.820588790184743178e-02 -1.678454204508444958e-02
7.924066879194699431e-02 -1.684789745443228404e-02
8.039992983869997945e-02 -1.526191450930802773e-02
8.016457411931585120e-02 -1.633550086411257596e-02
7.972660582784352190e-02 -1.589748102531279850e-02
8.013013436966795466e-02 -1.536447597498191708e-02
7.984102819105720616e-02 -1.753328380346461102e-02
8.018140410543023178e-02 -1.526260712615465365e-02
8.044688219064913270e-02 -1.568438277595564367e-02
7.882615171223100736e-02 -1.624526679208040947e-02
7.864907851895577839e-02 -1.625697102316557563e-02
8.099838680849960615e-02 -1.538721538156712088e-02
7.904187538613219322e-02 -1.648665879676694535e-02
7.923284358936649729e-02 -1.673162975268384367e-02
7.885548164499853185e-02 -1.718719340407051654e-02
7.854954325662386050e-02 -1.733623963480264429e-02
8.032056568380405159e-02 -1.622525891696127709e-02
7.856797601065260150e-02 -1.608695854619508758e-02
7.902492457774842882e-02 -1.683854383735404470e-02
8.004680514678871872e-02 -1.602543687671950656e-02
7.987400793503224294e-02 -1.646238090651389041e-02
7.863431702924961186e-02 -1.629687829508645602e-02
8.026413494416198557e-02 -1.552634060725086029e-02
7.911345624014118338e-02 -1.791393570256274992e-02
8.107834204334060657e-02 -1.549762720325292831e-02
8.026231626554344856e-02 -1.570321654172697479e-02
8.140424708400997855e-02 -1.567229404002347393e-02
8.165773299727216439e-02 -1.594313698867730333e-02
7.932082819852875888e-02 -1.738784309644350601e-02
8.022177870981969661e-02 -1.561778592293870671e-02
7.993863051679506171e-02 -1.582721218472550595e-02
8.014175447922355922e-02 -1.630532765606332313e-02
7.971814546509772836e-02 -1.477252173381173039e-02
7.893601205390460285e-02 -1.492366289858090833e-02
7.823407119469288906e-02 -1.760073472596748734e-02
8.090939273525551978e-02 -1.634727262375963719e-02
7.926642045229728706e-02 -1.530364453993446339e-02
8.080543612921831098e-02 -1.511937786647787885e-02
7.989196266509671074e-02 -1.632565730895726985e-02
8.035486717798409617e-02 -1.546698391363039715e-02
7.936011429228809200e-02 -1.799242365501467489e-02
8.095289980832418020e-02 -1.674155406637151122e-02
8.034902387552983472e-02 -1.489787164114679541e-02
7.975373995714835074e-02 -1.739694038427552769e-02
7.960791568780689609e-02 -1.723805232222899719e-02
7.979041448890239474e-02 -1.525428055079283696e-02
7.989315131380059221e-02 -1.635152828622470078e-02
7.887388437936307395e-02 -1.561963218082748628e-02
7.951517285547865521e-02 -1.528166377925564701e-02
7.975373995714835074e-02 -1.739694038427552769e-02
8.054756098425452926e-02 -1.624726650774679926e-02
7.959264219384507011e-02 -1.606365019649502734e-02
7.995134878007856272e-02 -1.680679007258864543e-02
8.084551725394822919e-02 -1.721937392508404718e-02
8.000329173429970853e-02 -1.685494216980891469e-02
8.121938511572465713e-02 -1.456602170216464431e-02
8.075529662154376509e-02 -1.681210847815822751e-02
8.124392882858658127e-02 -1.558666977645664642e-02
8.092412043147509393e-02 -1.626377946889256965e-02
8.047724590719976256e-02 -1.556797838431496495e-02
7.896676200014421387e-02 -1.578299409961300692e-02
7.897134785149304004e-02 -1.614853841797359024e-02
8.097095036987272954e-02 -1.622260495773139577e-02
8.120255363228431889e-02 -1.590157808680156548e-02
8.041320263535253754e-02 -1.576649149044219433e-02
7.901947004426015941e-02 -1.698359269630858592e-02
8.032303305637400470e-02 -1.557181625038370210e-02
8.042398335831002498e-02 -1.704467197780513976e-02
8.070618860217071422e-02 -1.512049025648380673e-02
7.929042816204942556e-02 -1.690726552769912516e-02
8.089469102220492314e-02 -1.653439743982104693e-02
8.057765747335374207e-02 -1.541168473150646145e-02
7.940134787860675392e-02 -1.779862264957456086e-02
8.002387533780358497e-02 -1.684710335204184228e-02
8.019003242054004166e-02 -1.573883472120660154e-02
8.139344025064138011e-02 -1.728870185227474043e-02
8.054756098425452926e-02 -1.624726650774679926e-02
7.975589985564743301e-02 -1.771381140948126431e-02
7.899614742319222005e-02 -1.668044059777987198e-02
7.928448338810709095e-02 -1.698841651950440401e-02
7.938234084192744011e-02 -1.628755298463659129e-02
8.108395900980744364e-02 -1.578929188263349104e-02
7.977841216215822429e-02 -1.547867018637695546e-02
8.046764858867622161e-02 -1.685784829413602970e-02
7.902960222944829805e-02 -1.725619682137419231e-02
7.938234084192744011e-02 -1.628755298463659129e-02
8.202129107192432378e-02 -1.551731392492286532e-02
8.015944311837999714e-02 -1.622003417205875042e-02
7.932759966092781112e-02 -1.590660438620097872e-02
8.003352924250009548e-02 -1.624440775647074953e-02
7.961519298539723732e-02 -1.576155498146557254e-02
8.051810408741214009e-02 -1.631624947362182720e-02
8.136971446374624550e-02 -1.620775907681530625e-02
7.905463115806962704e-02 -1.634468243248496377e-02
8.017009292286175759e-02 -1.553713361877771815e-02
7.874977538312510905e-02 -1.679895585116919499e-02
8.107710337814408308e-02 -1.551816491519721064e-02
7.977943382050300958e-02 -1.605650759635274261e-02
8.096842162034736945e-02 -1.618888228855080991e-02
7.813871059852658951e-02 -1.716436011218326618e-02
8.139193166002220425e-02 -1.495501927429504496e-02
7.959801807592722933e-02 -1.646738261079869203e-02
7.976568825112179129e-02 -1.678924416987433166e-02
7.893601205390460285e-02 -1.492366289858090833e-02
7.999527187596605637e-02 -1.656029761581953585e-02
7.839177874960243098e-02 -1.644444171457341841e-02
7.863462117056460587e-02 -1.541148502441977430e-02
8.009389601142788417e-02 -1.514386088197330893e-02
7.908524487947921067e-02 -1.610847440563221988e-02
7.880491049910612333e-02 -1.719717593050805460e-02
7.844058490774946657e-02 -1.668561075913213565e-02
8.009744212680075526e-02 -1.696975037498879568e-02
8.055948046225652748e-02 -1.533111115340708708e-02
8.035758912116738872e-02 -1.680642181922691047e-02
8.035486717798409617e-02 -1.546698391363039715e-02
7.851386087001560599e-02 -1.616658942773335772e-02
8.119594489724935027e-02 -1.661329132632331784e-02
7.975233833956371643e-02 -1.661262027855964218e-02
8.008269578621260432e-02 -1.649958361616304936e-02
7.801652886312113178e-02 -1.771237874067919937e-02
7.926659473883015949e-02 -1.616899404315055855e-02
8.106458741252478561e-02 -1.654349177612798871e-02
7.832597235308155770e-02 -1.711866095512962205e-02
7.974097126437179606e-02 -1.479818924174280959e-02
8.042237145289227174e-02 -1.578773512368691900e-02
7.977459643250434107e-02 -1.749042952129309381e-02
8.015834621440195984e-02 -1.563555727197953049e-02
7.998519312609908560e-02 -1.526384656976356724e-02
7.969933383187383091e-02 -1.571086630306248177e-02
7.982059318265918857e-02 -1.527464914310298905e-02
8.008848279349795041e-02 -1.616171854875514402e-02
7.868432686034673718e-02 -1.616543964492810070e-02
7.935471849604089356e-02 -1.635843296603912977e-02
8.006543209248559445e-02 -1.630780165215167665e-02
8.054806251742663292e-02 -1.505704103592034326e-02
7.970098795612443054e-02 -1.684675644683469864e-02
8.074866734665345214e-02 -1.654517296423725636e-02
7.949722038414114289e-02 -1.656309095602444270e-02
7.946277788054217917e-02 -1.759152230590725619e-02
7.960904027358281509e-02 -1.706091516802431263e-02
7.986210488217379555e-02 -1.650407973080465773e-02
7.923184734307336941e-02 -1.647547605139851323e-02
8.110865431132485703e-02 -1.629199807662566613e-02
7.995938382501230346e-02 -1.477325977134397172e-02
7.994162882349223342e-02 -1.698775790957123000e-02
8.118150479833979860e-02 -1.722101236439492478e-02
7.962294463544625223e-02 -1.582131133758715724e-02
7.983507160901004429e-02 -1.676206415434766672e-02
7.912095897771195818e-02 -1.640340332770601206e-02
7.952634484046136598e-02 -1.669570594565210342e-02
7.974221404008494107e-02 -1.646746154439446275e-02
7.941045489382578260e-02 -1.697750651300634905e-02
8.037045161508052371e-02 -1.708868223115996010e-02
7.974038769477614919e-02 -1.486604685229060696e-02
7.924152861745178966e-02 -1.604973970020825980e-02
7.978883012411427944e-02 -1.429197767280752929e-02
7.993404462536848887e-02 -1.720787641274280910e-02
8.022762102357533509e-02 -1.663371261661314437e-02
8.018062597783587320e-02 -1.769813527993854829e-02
7.968970949987638774e-02 -1.565248481195719021e-02
7.947981657667688160e-02 -1.548562894273296242e-02
7.840440912518695238e-02 -1.643175749083695958e-02
8.041767796006790703e-02 -1.671687843446864608e-02
7.944343542192189300e-02 -1.669206622092092585e-02
7.946140696141323900e-02 -1.515689216576007747e-02
7.993665815157224852e-02 -1.646799516944111308e-02
7.976460458463727199e-02 -1.664282791229314273e-02
7.970274255484566250e-02 -1.471808589809626977e-02
7.902960222944829805e-02 -1.725619682137419231e-02
8.002852495816006884e-02 -1.502022031383296041e-02
7.932759966092781112e-02 -1.590660438620097872e-02
