k1 k2 k3 k4 k5
6.511133300145893754e-02 -9.588007519071753415e-03 3.929207312936153218e-03 -2.355361545234163634e-04 2.357856084505699501e-04
6.468191509328166666e-02 -7.189941010360023643e-03 4.211786342338916245e-03 1.244842534846996029e-04 2.783337395116089463e-03
6.440527966595807619e-02 -1.119551580029594373e-02 1.425144506533235211e-03 -2.329535649479158588e-04 -2.480326173249641775e-04
6.362484795233461221e-02 -1.184867908328993136e-02 2.948700683148536283e-03 -5.651817160410438357e-04 2.069159319512153816e-03
6.407586094742720451e-02 -1.003443249470158116e-02 2.862968345670457992e-03 -1.666093600166632105e-03 -1.067861500668385033e-03
6.533183016242979924e-02 -1.090213449312803229e-02 4.966121225639594239e-03 -2.423936989654887353e-03 8.147706058197756729e-04
6.394295357652360345e-02 -1.016100206257204708e-02 2.147001375923454636e-03 -8.210834694580837478e-04 -6.090153716996338229e-04
6.502614597502229254e-02 -1.085953199069276953e-02 2.041294761213549580e-03 -2.006922557181434197e-03 -2.422654513740310489e-03
6.586442297771893939e-02 -1.197788224353579789e-02 8.586809062228056844e-04 -1.779810729452963036e-03 -1.503310368508578576e-03
6.427564272049501870e-02 -8.764527297408786222e-03 2.566710060698779161e-03 -3.361238177806410987e-03 -2.020495247287618090e-03
6.360901072176491922e-02 -1.104491327584412874e-02 1.831577282637233961e-03 -1.255491870998937110e-03 -8.084102009791316323e-04
6.169110805116739815e-02 -1.173387030940339915e-02 4.731697869479314922e-03 -4.980214883174294282e-04 8.179048377731784614e-04
6.503823857994950330e-02 -9.351571097587635384e-03 1.944603510532647017e-03 -1.695663644319181373e-03 4.565879991789978387e-04
6.395693282953504588e-02 -1.061558917967224402e-02 3.585441983623066653e-03 -2.596817763112879707e-03 -2.681795329714770082e-03
6.253934058422189191e-02 -1.149345851476074598e-02 3.703449726392332719e-03 -9.783798909347024564e-04 -5.247816368253721553e-04
6.620647987724634365e-02 -9.619819748424587869e-03 1.038039135180773842e-03 -2.119848035001203890e-03 -1.248240166892983227e-03
6.352436183099260947e-02 -1.011263034233869651e-02 1.355084790607391509e-03 -1.530793096863866665e-03 -1.175766551070336896e-03
6.177866424694197778e-02 -1.189477999883829795e-02 2.235176266713947979e-03 -6.045081612571223673e-04 -1.363221640722639405e-03
6.280701784012429623e-02 -1.091266268409694928e-02 3.165732138856361400e-03 -9.592373488440386620e-04 -6.073907102240039269e-04
6.330711835986754799e-02 -1.136378357075616685e-02 2.566113090924207474e-03 -3.619921464385333909e-04 5.084971097373963689e-04
6.532950302740458959e-02 -9.914341509578566969e-03 2.087016794230178718e-03 -2.121645024699053694e-03 6.127517749560940086e-04
6.165144855013759972e-02 -1.097744132710974652e-02 3.494832061702340953e-03 -3.253560992281523401e-04 5.481273235195399662e-04
6.255845841914461913e-02 -1.076135490776164438e-02 1.410115029729902547e-03 6.734010735582607321e-04 1.512701925593454289e-03
6.415088041620573001e-02 -1.139271252522330857e-02 1.708410446459585064e-04 -1.491938683016336142e-03 4.083729448573630849e-04
6.465236281015707132e-02 -1.007907621779760565e-02 3.657133197820197634e-03 -1.086429233799077188e-03 -2.067053792625325737e-03
6.474992236955676161e-02 -9.833912589957985451e-03 -9.048493444075017544e-04 -8.834551469339424479e-04 -8.769516451854475481e-04
6.354941008719591777e-02 -1.029043258090883706e-02 7.815732376610651233e-04 -4.236933012902094342e-03 -9.058023383055335831e-04
6.404825868213082085e-02 -1.065631249603109232e-02 2.453697296922838222e-03 -1.688621304867132800e-03 -6.137636619218123091e-04
6.246658854920669746e-02 -1.204853044632411829e-02 2.007405234524611837e-03 -1.730193319044392997e-03 -4.173476004923487581e-04
6.408236687541046805e-02 -9.420162465459874790e-03 3.209299659806347238e-03 4.459545852999180493e-04 -4.181671998065433771e-04
6.620647987724634365e-02 -9.619819748424587869e-03 1.038039135180773842e-03 -2.119848035001203890e-03 -1.248240166892983227e-03
6.241355623789218710e-02 -1.025506003080413342e-02 3.819586082745615729e-03 -1.653765078813984601e-03 -8.461251143490888804e-04
6.306653164550973800e-02 -1.178214815242949187e-02 1.765889911057305639e-03 -2.521999194951315970e-03 -1.446331998508826322e-03
6.413257325987950508e-02 -9.757566654173099874e-03 1.464749481154464794e-03 -2.697900495003929811e-03 1.654227570109662038e-04
6.538102420052058217e-02 -8.997931271582271240e-03 3.256242413338467090e-03 -1.960797182314122367e-03 -1.245094925093656602e-03
6.420047859957273007e-02 -8.812392052822554112e-03 5.469020038886274193e-04 -2.184762038087276204e-03 -2.008124025800583912e-03
6.415088041620573001e-02 -1.139271252522330857e-02 1.708410446459585064e-04 -1.491938683016336142e-03 4.083729448573630849e-04
6.322578975332010520e-02 -1.186181283489831650e-02 3.786677958926731868e-03 -1.831666225875119847e-03 7.658748497421929979e-04
