weight logl k1 k2
0.000000000000000000e+00 -9.210340371976181865e+06 9.911183655195602293e-01 8.282356405857238535e-02
0.000000000000000000e+00 -9.210340371976181865e+06 1.133398340728721809e-01 3.483736211690147133e-02
0.000000000000000000e+00 -9.210340371976181865e+06 9.037565215862273238e-01 1.225648905715748249e-03
0.000000000000000000e+00 -9.210340371976181865e+06 4.715193844918241783e-02 9.855541950020518804e-02
0.000000000000000000e+00 -9.210340371976181865e+06 8.267818682482941384e-01 2.583157265786395484e-04
0.000000000000000000e+00 -9.210340371976181865e+06 5.535112442417455814e-02 1.207729980493930100e-01
0.000000000000000000e+00 -9.210340371976181865e+06 8.643722020346433776e-02 1.061870760427522375e-01
0.000000000000000000e+00 -9.210340371976181865e+06 5.095230497690017568e-02 1.150580382261687795e-01
0.000000000000000000e+00 -9.210340371976181865e+06 8.322530348051733196e-01 6.947968057066100656e-03
0.000000000000000000e+00 -9.210340371976181865e+06 8.789892780594522614e-01 4.450700060236867373e-02
0.000000000000000000e+00 -9.210340371976181865e+06 7.918961211832331593e-02 1.978549817767794039e-02
0.000000000000000000e+00 -9.210340371976181865e+06 7.562088373893161020e-03 1.651126235680122623e-01
0.000000000000000000e+00 -9.210340371976181865e+06 3.694319362242115545e-02 1.460535536081711827e-01
0.000000000000000000e+00 -9.210340371976181865e+06 6.766960480308104042e-02 1.070233490810355015e-01
0.000000000000000000e+00 -9.210340371976181865e+06 2.490658874768059139e-02 1.139463016886600455e-01
0.000000000000000000e+00 -9.210340371976181865e+06 1.756379838052413156e-01 1.826156355120811536e-02
0.000000000000000000e+00 -9.210340371976181865e+06 3.912901401670421109e-02 3.621965478461608434e-02
0.000000000000000000e+00 -9.210340371976181865e+06 8.629988299428648091e-02 1.092164184061076293e-01
0.000000000000000000e+00 -9.210340371976181865e+06 9.737944594536279697e-01 2.098032797300852792e-02
0.000000000000000000e+00 -9.210340371976181865e+06 9.837886791606218484e-01 1.575672676753836488e-02
0.000000000000000000e+00 -9.210340371976181865e+06 9.786865475825481386e-01 1.508758865883415012e-01
0.000000000000000000e+00 -9.526875577446765965e+04 1.112539478639161805e-01 9.777486921901479278e-02
0.000000000000000000e+00 -9.320147222685694578e+04 1.260012761251438906e-01 8.991614294624972192e-02
0.000000000000000000e+00 -9.294006648653719458e+04 1.105194890162122245e-01 1.085302556868624757e-01
0.000000000000000000e+00 -9.210084520232220530e+04 5.575440218710925322e-03 2.399536614337863805e-01
0.000000000000000000e+00 -9.144354450337766320e+04 4.531223525264593821e-02 1.969663059031382391e-01
0.000000000000000000e+00 -9.021764345316900290e+04 2.221823445822210807e-01 1.658410701156798339e-03
0.000000000000000000e+00 -8.749591896154594724e+04 4.012612383713343167e-02 2.647730111308862488e-01
0.000000000000000000e+00 -8.639755320392183785e+04 1.336208428719588559e-01 1.555835806741638905e-01
0.000000000000000000e+00 -8.617524755051601096e+04 4.120634327895267290e-02 2.962037834702287986e-01
0.000000000000000000e+00 -8.612491463697428117e+04 1.703579176543075224e-01 1.123929417658163787e-01
0.000000000000000000e+00 -8.605634194044501055e+04 2.813221332574489253e-02 9.915322805896047420e-01
0.000000000000000000e+00 -8.597968162837624550e+04 1.150087425800438989e-01 1.898456026932141549e-01
0.000000000000000000e+00 -8.548004134388470266e+04 5.806345907021415176e-02 9.957514067569787075e-01
0.000000000000000000e+00 -8.482908921444635780e+04 1.433213610677748218e-01 1.769268604211295948e-01
0.000000000000000000e+00 -8.407500675102944660e+04 9.337387544877784329e-03 4.465175572337453103e-01
0.000000000000000000e+00 -8.379893203855725005e+04 1.351531357047086601e-02 4.540061570685849368e-01
0.000000000000000000e+00 -8.352681873798470770e+04 3.054110950748467612e-02 4.282041728607088871e-01
0.000000000000000000e+00 -8.347112540120841004e+04 1.266266893722364228e-01 9.715078651259836384e-01
0.000000000000000000e+00 -8.327862641924714262e+04 1.654517091821403607e-01 1.884970698595518357e-01
0.000000000000000000e+00 -8.309946757348146639e+04 1.646375477863404324e-02 5.033639806339824663e-01
0.000000000000000000e+00 -8.289391973015328404e+04 5.146079809504877645e-04 6.610883260407025563e-01
0.000000000000000000e+00 -8.286374677881415118e+04 2.620737309973164564e-01 6.576126863968212444e-02
0.000000000000000000e+00 -8.277568923672036908e+04 1.561946655751550450e-01 9.652196555760178542e-01
0.000000000000000000e+00 -8.272067944388317119e+04 1.897369339400289956e-02 5.389583168868357088e-01
0.000000000000000000e+00 -8.263616765890362149e+04 1.909438820783471158e-02 7.407620825440537349e-01
0.000000000000000000e+00 -8.248150292227711179e+04 1.385182164447006370e-01 9.356435769219262344e-01
0.000000000000000000e+00 -8.240363911266181094e+04 1.602602173021027143e-01 9.514364885739279298e-01
0.000000000000000000e+00 -8.235896041507755581e+04 5.624077711151520553e-02 8.156261323084981196e-01
0.000000000000000000e+00 -8.228486687314786832e+04 2.514867861701337581e-01 9.617362477394730824e-02
0.000000000000000000e+00 -8.225968591758089315e+04 6.758853282789278882e-02 8.293419268370028075e-01
0.000000000000000000e+00 -8.214680132230812160e+04 4.500723490920821579e-02 7.638456605181791481e-01
0.000000000000000000e+00 -8.204169146848296805e+04 3.840428182700139637e-02 7.209380826808577947e-01
0.000000000000000000e+00 -8.203939963333573542e+04 2.737933802343215373e-01 7.375281447876713692e-02
0.000000000000000000e+00 -8.181942030953371432e+04 2.646359444648742620e-01 9.995608903111382615e-01
0.000000000000000000e+00 -8.172596697428914194e+04 4.887816466186423181e-02 7.090414829772575533e-01
0.000000000000000000e+00 -8.140921736321304343e+04 5.846842400614027380e-02 5.623764246115934284e-01
0.000000000000000000e+00 -8.131533346797915874e+04 9.133568396598357175e-02 7.892325591492558301e-01
0.000000000000000000e+00 -8.130959732967593300e+04 6.163546894740701276e-02 6.822054912059289933e-01
0.000000000000000000e+00 -8.125779213147866540e+04 5.998790990679658819e-02 6.243653957229312601e-01
0.000000000000000000e+00 -8.117398093562804570e+04 7.133330689814942893e-02 5.323206627626609899e-01
0.000000000000000000e+00 -8.108929535460664192e+04 2.137347782937583096e-01 9.315786289511839291e-01
0.000000000000000000e+00 -8.107720895120599016e+04 1.647197012871916000e-01 2.813317427411414773e-01
0.000000000000000000e+00 -8.100040938209785963e+04 8.662764794006194702e-02 4.878519762342230504e-01
0.000000000000000000e+00 -8.095609231994416041e+04 1.783897836369207068e-01 8.910106400103668944e-01
0.000000000000000000e+00 -8.090927911138493801e+04 2.390266896450148337e-01 9.425947003828879511e-01
0.000000000000000000e+00 -8.088376079131741426e+04 1.167812296957304596e-01 7.991096646137422210e-01
0.000000000000000000e+00 -8.082318433748187090e+04 8.921514638021943444e-02 5.037084045532720378e-01
0.000000000000000000e+00 -8.082137088223062165e+04 2.948817759295837559e-01 8.583312810846133178e-02
0.000000000000000000e+00 -8.080739817697729450e+04 2.509888972619498393e-01 1.489158220451707315e-01
0.000000000000000000e+00 -8.077346799038187601e+04 1.266805091770568659e-01 8.073427573306951599e-01
0.000000000000000000e+00 -8.077071813040168490e+04 7.902617022879798725e-02 6.109070124003372904e-01
0.000000000000000000e+00 -8.076038739230927604e+04 1.162610180037125795e-01 4.145608822248681991e-01
0.000000000000000000e+00 -8.064821706499201537e+04 1.547250655802917541e-01 8.414316939324368860e-01
0.000000000000000000e+00 -8.054808009492629208e+04 2.201991450682040385e-01 9.080173520211468619e-01
0.000000000000000000e+00 -8.027533933513759985e+04 1.423182314075478461e-01 7.890622227773491648e-01
0.000000000000000000e+00 -8.026279171846421377e+04 1.101994815910253278e-01 7.003892667369765457e-01
0.000000000000000000e+00 -8.025796582702793239e+04 1.291278326895562989e-01 4.271805570162525711e-01
0.000000000000000000e+00 -8.024554430263841641e+04 3.162715099097888061e-01 9.631007935433099076e-01
0.000000000000000000e+00 -8.023778304980439134e+04 2.758058251778443548e-01 9.362599633024221157e-01
0.000000000000000000e+00 -8.023101903150751605e+04 1.775315935262840039e-01 3.069535672567299533e-01
0.000000000000000000e+00 -8.022248028199767577e+04 2.739709784993564767e-01 1.392434851697913478e-01
0.000000000000000000e+00 -8.019125000740376709e+04 2.862090219611084230e-01 9.412597549821329901e-01
0.000000000000000000e+00 -8.010264392602736189e+04 1.597669329457449550e-01 8.040048820602889723e-01
0.000000000000000000e+00 -8.004956016240462486e+04 1.631997540484341203e-01 8.049403942350901175e-01
0.000000000000000000e+00 -8.004435773759133008e+04 2.004916811164503265e-01 8.562220034586630613e-01
0.000000000000000000e+00 -7.996258088919581496e+04 1.140728032829485539e-01 5.542565652161293155e-01
0.000000000000000000e+00 -7.984156845301683643e+04 1.208948146209806174e-01 6.535098966747946436e-01
0.000000000000000000e+00 -7.981848824017556035e+04 1.202114009996618771e-01 5.508854404056832132e-01
0.000000000000000000e+00 -7.974215492326114327e+04 1.451702378353356693e-01 7.337363203491372721e-01
0.000000000000000000e+00 -7.973167004204656405e+04 2.106059206564228070e-01 2.724162061289242542e-01
0.000000000000000000e+00 -7.969479541051725391e+04 1.832353187684991891e-01 8.055507442726781431e-01
0.000000000000000000e+00 -7.968574452643416589e+04 3.551454347239304532e-01 4.985599015239461362e-02
0.000000000000000000e+00 -7.965231081048601482e+04 3.475931405364078852e-01 9.539421815417364892e-01
0.000000000000000000e+00 -7.944510899977671215e+04 4.193450355121061124e-01 9.807871088871201737e-01
0.000000000000000000e+00 -7.942391545319808938e+04 1.456263611695640670e-01 4.844124328566499216e-01
0.000000000000000000e+00 -7.937768002560389868e+04 1.899590167496761905e-01 7.872142521940883597e-01
0.000000000000000000e+00 -7.935850630712456768e+04 3.228051173320645173e-01 1.069824575629860774e-01
0.000000000000000000e+00 -7.930263497979381646e+04 2.883150241864566032e-01 1.609734726641001146e-01
0.000000000000000000e+00 -7.929861009068421845e+04 2.392087357040054707e-01 2.452108642881836165e-01
0.000000000000000000e+00 -7.929506243714656739e+04 1.416561228587901455e-01 5.578540821078594725e-01
0.000000000000000000e+00 -7.924502372680268309e+04 2.878047192138417643e-01 8.910822416119135170e-01
0.000000000000000000e+00 -7.913649471059124335e+04 1.685336615312589270e-01 4.345079961951361369e-01
0.000000000000000000e+00 -7.912111103983555222e+04 1.580154328855832846e-01 4.836163690040240493e-01
0.000000000000000000e+00 -7.910300480126526963e+04 4.077062969881798393e-01 1.008210555310540268e-02
0.000000000000000000e+00 -7.902264820879269973e+04 2.762418916046021078e-01 8.668817867722824477e-01
0.000000000000000000e+00 -7.899892818335015909e+04 2.359479744856043393e-01 8.212081946659348652e-01
0.000000000000000000e+00 -7.894337022655364126e+04 1.590291481618441027e-01 5.296583836970379933e-01
0.000000000000000000e+00 -7.891326115124212811e+04 2.708075176356216085e-01 2.119808197271203509e-01
0.000000000000000000e+00 -7.887089759169977333e+04 2.379476472890630356e-01 8.133396907810425125e-01
0.000000000000000000e+00 -7.882651874054098153e+04 3.244759118832870604e-01 1.305042202334879553e-01
0.000000000000000000e+00 -7.878293331560936349e+04 1.853032168314771022e-01 4.245951680670223549e-01
0.000000000000000000e+00 -7.878289087299493258e+04 1.895835786911388432e-01 7.175277838265959884e-01
0.000000000000000000e+00 -7.870844555358336947e+04 1.752580445822735644e-01 4.839551850911874009e-01
0.000000000000000000e+00 -7.868602073166266200e+04 1.846770613282400220e-01 4.426095253469964907e-01
0.000000000000000000e+00 -7.867476378890639171e+04 1.729405508460821750e-01 5.098411245037979267e-01
