k1 k2 k3
6.411871903296767483e-02 -1.263615370519798053e-02 1.755250810668809724e-03
6.327324210316428998e-02 -1.132381396364852411e-02 4.565156202843520528e-03
6.371413429901709446e-02 -1.051991465628340783e-02 6.334570784346515993e-04
6.355157491586743701e-02 -1.039816971447117544e-02 3.367698202090596560e-03
6.351370306794656972e-02 -1.069897376444037262e-02 4.655045804510177243e-03
6.400812755500073781e-02 -1.090252204823952131e-02 2.542280143366437706e-03
6.372055258067790828e-02 -1.151943353750799204e-02 4.774562840979698630e-03
6.237724133112115821e-02 -9.857671410936130751e-03 3.629012921940483194e-03
6.435959730422421976e-02 -1.105276767495065593e-02 3.276261260928087227e-03
6.239637929150534945e-02 -1.036700117857328185e-02 2.483440489421923081e-03
6.398678328114951186e-02 -1.200337162286077564e-02 2.580740711720458380e-03
6.355950267145765720e-02 -1.279611880961707693e-02 2.291877360910715700e-03
6.328608259767656841e-02 -1.117543897835558686e-02 1.095507982324717133e-03
6.642049477780503919e-02 -1.003461870318567151e-02 5.673802568868069329e-03
6.471013868710190353e-02 -1.213338081044540440e-02 1.858354018702976229e-03
6.451763351235739741e-02 -9.413239866406644674e-03 3.648752248504957829e-03
6.314189193153849078e-02 -1.092861065849064228e-02 4.268949173781094730e-03
6.279431234161705899e-02 -1.031427703021312037e-02 3.973089386629186093e-03
6.575491097830640785e-02 -9.752766247365415864e-03 2.106029292437347489e-03
6.316023978916662784e-02 -9.148279961788047254e-03 3.919048790849102848e-03
6.305940887609770562e-02 -1.237489391040677567e-02 3.059994388746864469e-03
6.207157623296463700e-02 -1.240111988835124190e-02 3.846829521620409587e-03
6.364603017649511640e-02 -1.129546733059585972e-02 3.919124107397767287e-03
6.246696111705696275e-02 -1.271207216088768299e-02 4.505249011326345476e-03
6.640119613238978924e-02 -1.080506876853699894e-02 2.088658815298072291e-03
6.316906052808435312e-02 -1.180527394725788826e-02 2.132665402369532393e-03
6.282371234379827141e-02 -1.317368976362362498e-02 3.223668529022560847e-03
6.389385362913838073e-02 -1.253073063608786675e-02 2.258192243295112367e-03
6.244349406347582399e-02 -1.365045855625894589e-02 3.586898027754248375e-03
6.289504018280309139e-02 -1.039767373575986587e-02 1.265177946972201317e-03
6.394530389203739729e-02 -1.288401340427081099e-02 2.974202652402710423e-03
6.335505490730433675e-02 -1.048876441070215049e-02 4.820288264394317901e-03
6.582526408586175659e-02 -8.216077238478558531e-03 4.789749264579840071e-03
6.310024563222915717e-02 -1.059517665977274814e-02 3.806166958822160273e-03
6.307547288719206335e-02 -1.200053690806471285e-02 1.758169243055052178e-03
6.754045340607905956e-02 -9.387373321191494480e-03 1.811831096324365009e-03
6.414513863763551815e-02 -9.934775921519284347e-03 4.968738835197814008e-03
6.293416250662861589e-02 -9.264187172794577374e-03 4.121310364506164392e-03
6.198348162241160142e-02 -1.101549235239597524e-02 3.684841319790521652e-03
6.384001618948190182e-02 -1.041832765899791680e-02 4.355093941934090607e-03
6.389385362913838073e-02 -1.253073063608786675e-02 2.258192243295112367e-03
6.167253409120293517e-02 -1.275210710409888093e-02 2.612597770427910193e-03
6.306527567035213888e-02 -8.812086201992808121e-03 4.291715195378603687e-03
