weight logl k1 k2 k3
0.000000000000000000e+00 -1.381551055796427280e+07 9.358476470145565829e-01 3.221726546018967019e-01 8.824632230524288579e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.851742889734993458e-02 7.977188706806654928e-01 9.919811302154569743e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.701745799199516185e-01 9.038223995252447907e-03 9.206933796608307574e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.382798531085568161e-01 5.729846598830357074e-02 9.884984173011596154e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.750108602263161561e-01 1.547312089592756124e-02 3.027600419867091386e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.553625180106865677e-01 7.854497388423653526e-02 7.577324773982428985e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.943601843234561199e-01 1.031428612532993006e-01 9.341168280692885295e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.015635189505897706e-01 1.559164161005004434e-01 5.012989874780982014e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.099363433416628677e-01 1.656909383809527236e-01 7.267460654090862615e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.309661970780274576e-01 1.823965212252048884e-01 2.891203061934899399e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.490572931285399250e-01 2.728959042056444684e-02 8.275074578623213828e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.369552933672004480e-01 7.303735569415226170e-02 9.447830991535566270e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.101426896615381734e-01 4.566528114744521361e-01 5.865250331394511463e-03
0.000000000000000000e+00 -1.381551055796427280e+07 7.848981996148456375e-01 1.857113440292549322e-01 8.462184629663795921e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.126201279490755658e-01 1.942741053192130751e-01 7.414363830443593262e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.822192844916680210e-01 2.141985618684784098e-01 8.453499818877642236e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.275136647239199394e-01 2.592829328501415898e-01 9.508743058560101824e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.884722588980274782e-01 2.733503714550900021e-02 6.946894849669354999e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.749258710973259356e-01 3.212167831050302125e-01 9.945029480607734396e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.624875340407674784e-02 1.471202567338621980e-01 1.992139148633316204e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.205947682842582136e-02 2.634852400960823182e-01 2.130949615157987642e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.148904810447407554e-01 3.839161995692963458e-02 8.625787272872602607e-01
