weight logl k1 k2 k3 k4
0.000000000000000000e+00 -1.381551055796427280e+07 -8.427384758931255604e-02 2.078047154570078492e-03 7.977467364439136399e-02 5.291845425305510831e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.985352017065762809e-02 -9.709691978298101711e-03 3.240755093406308407e-02 -3.308443006600661485e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -6.950279636239896364e-02 2.564285862136056471e-03 9.141103357762983550e-02 4.052264498619101429e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -5.157543822479063178e-02 -5.843366327121457537e-02 3.764418568633778883e-02 -9.986819437551891498e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -7.963426128786195435e-02 -9.385748846275232538e-02 3.190329364868832451e-02 -7.008381532475604914e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.469634905352270926e-02 2.902918119709405054e-02 -8.236836938353737925e-02 3.458786122089196891e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -8.462991393940709484e-02 5.718358330531292388e-02 8.198254218590453335e-02 9.712129499584706838e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.557320520535545927e-02 -7.441080636968655515e-02 -9.656045308018418316e-02 5.685493288824242097e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -9.568802228871897686e-02 7.710291038522473772e-02 -1.046990347794549137e-02 -8.589088317518048243e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -1.277428544720567161e-02 3.786782449410258655e-02 9.195800974652909576e-02 6.558199181905399744e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -1.186319834120388994e-02 2.057774120254721173e-03 -8.717002851464701607e-02 -7.846648342556981903e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -2.178576359604741941e-02 -7.745643345017144688e-02 1.153742523744380466e-03 -6.456899321264800151e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -4.968783223733857363e-02 -4.808628762692877118e-02 -6.754273765161350473e-02 -4.478238356984676205e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -7.957570178510474379e-02 -9.520953264035031394e-02 1.325895601527889156e-02 -3.933304615076427257e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.955928877767301732e-02 -7.460112690934082857e-02 7.208243918648274406e-02 -2.507044460388596629e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.027771512126345210e-03 -6.882370112997160394e-02 1.063824801196437686e-02 -9.323741328147283625e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -5.841272842121785630e-02 -9.242320582121364703e-02 -1.518465652927729337e-02 -7.714038888614718759e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.093406931551836769e-02 -8.248119138287153540e-02 6.120280186207588402e-02 9.255925507683235298e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -7.152942050869792734e-02 -4.565221067490297241e-02 -5.238155630457048961e-02 -9.501253081818830659e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -6.649572518374699537e-02 -7.305766526701290564e-02 9.922728698965030403e-02 9.932188862406968188e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.994926587818116048e-02 -8.211494922396284091e-03 8.967936157044906209e-02 -9.208907393686230347e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.662945794836570346e-02 -4.632445750621938529e-02 2.126453905888088525e-02 -4.273276751048063482e-02
0.000000000000000000e+00 -1.381551055796427280e+07 6.066926642490841348e-02 -3.307994112559979605e-02 -7.506280157727732161e-02 8.741484040490418717e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.247559517440576138e-02 1.145117057573807884e-02 -2.008242887353128836e-03 9.537634770774558457e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -7.640241784581031093e-02 -2.377543971058362904e-02 -9.927635926913117026e-02 -1.158388586360784012e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -9.474537255261289426e-03 9.565081155999960449e-02 8.932038965941346831e-02 9.053967555345140972e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -3.677771239308860740e-03 -2.226386240832581298e-02 -9.424192230035698115e-02 -8.712007400886648267e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.773569596417153005e-02 -5.165407410204288230e-02 8.784001409916988856e-02 -1.197631891708768326e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.784787736400750058e-02 -4.945423444357013865e-02 -4.341845765714139049e-02 -7.786566252281940104e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -2.753679175690378067e-02 -9.812026891798908412e-02 -4.839651393169262100e-02 -8.400366749022569746e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.505064669095882546e-02 1.512646890994887028e-02 9.561875091529178916e-02 -8.993921310883030984e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -8.968793520970966271e-02 -7.764866896759155257e-02 3.763317905324020662e-02 -6.482673348293616078e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -4.413546866762654841e-02 -6.137897883589729653e-02 -7.812620802508392359e-02 -3.592590149146472622e-02
0.000000000000000000e+00 -1.381551055796427280e+07 -7.430519620658562752e-02 -8.920066309540249094e-02 9.257311789232444688e-02 4.180572473605143058e-02
