weight logl k1 k2 k3 k4
0.000000000000000000e+00 -1.381551055796427280e+07 7.863076205343721981e-02 5.103902357728503647e-01 8.988733682219568477e-01 7.645922712652755138e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.992676008532881404e-01 4.514515401085095192e-01 6.620377546703154481e-01 3.345778496699669535e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.524860181880052235e-01 5.128214293106803101e-01 9.570551678881491497e-01 7.026132249309550160e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.421228088760468689e-01 2.078316836439271231e-01 6.882209284316889164e-01 6.590281224054805875e-04
0.000000000000000000e+00 -1.381551055796427280e+07 1.018286935606902421e-01 3.071255768623837312e-02 6.595164682434415671e-01 1.495809233762197543e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.734817452676134630e-01 6.451459059854702804e-01 8.815815308231311764e-02 6.729393061044598445e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.685043030296456745e-02 7.859179165265646194e-01 9.099127109295226390e-01 9.856064749792352586e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.778660260267773241e-01 1.279459681515672242e-01 1.719773459907913971e-02 7.842746644412120771e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.155988855640511570e-02 8.855145519261237164e-01 4.476504826102725154e-01 7.054558412409761559e-02
0.000000000000000000e+00 -1.381551055796427280e+07 4.361285727639716558e-01 6.893391224705129883e-01 9.597900487326455066e-01 8.279099590952699872e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.406840082939805781e-01 5.102888706012735920e-01 6.414985742676493352e-02 1.076675828721509465e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.910711820197628752e-01 1.127178327491428211e-01 5.057687126187219162e-01 1.771550339367600202e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.515608388133071527e-01 2.595685618653561511e-01 1.622863117419325318e-01 2.760880821507661897e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.021214910744763227e-01 2.395233679824848583e-02 5.662947800763944439e-01 3.033347692461786371e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.977964438883650589e-01 1.269943654532958988e-01 8.604121959324136926e-01 3.746477769805701685e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.451388575606317399e-01 1.558814943501419803e-01 5.531912400598218982e-01 3.381293359263581877e-02
0.000000000000000000e+00 -1.381551055796427280e+07 2.079363578939107393e-01 3.788397089393180650e-02 4.240767173536135193e-01 1.142980555692640898e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.546703465775917552e-01 8.759404308564233688e-02 8.060140093103793646e-01 9.627962753841617927e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.423528974565103633e-01 2.717389466254851449e-01 2.380922184771475658e-01 2.493734590905849480e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.675213740812649954e-01 1.347116736649355273e-01 9.961364349482515479e-01 9.966094431203483817e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.997463293909057747e-01 4.589425253880186073e-01 9.483968078522452272e-01 3.955463031568851040e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.831472897418284340e-01 2.683777124689030735e-01 6.063226952944044124e-01 2.863361624475968537e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.033463321245419841e-01 3.346002943720010059e-01 1.246859921136134197e-01 9.370742020245208526e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.623779758720287791e-01 5.572558528786903942e-01 4.899587855632343558e-01 9.768817385387279506e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.179879107709485009e-01 3.811228014470818826e-01 3.618203654344176456e-03 4.420805706819608272e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.526273137236935806e-01 9.782540577999979670e-01 9.466019482970673415e-01 9.526983777672570763e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.816111438034557102e-01 3.886806879583709629e-01 2.879038849821513590e-02 6.439962995566761439e-02
0.000000000000000000e+00 -1.381551055796427280e+07 5.886784798208576364e-01 2.417296294897856024e-01 9.392000704958494151e-01 4.401184054145615976e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.892393868200374474e-01 2.527288277821493345e-01 2.829077117142930753e-01 1.106716873859030503e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.623160412154811105e-01 9.398655410054579384e-03 2.580174303415369019e-01 7.998166254887151272e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.252532334547941550e-01 5.756323445497443236e-01 9.780937545764589736e-01 5.030393445584846468e-02
0.000000000000000000e+00 -1.381551055796427280e+07 5.156032395145171421e-02 1.117566551620422510e-01 6.881658952662010886e-01 1.758663325853192516e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.793226566618672857e-01 1.931051058205135451e-01 1.093689598745803959e-01 3.203704925426763550e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.284740189670718902e-01 5.399668452298755916e-02 9.628655894616221511e-01 7.090286236802570974e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.769089404448552338e-01 4.112117626832281214e-01 9.982284283940079384e-01 2.434664276242085590e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.960882472180799807e-01 2.279292194813220540e-01 7.280762090167888223e-01 3.127942826764944506e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.381138315614510281e-01 1.407403503793194233e-01 1.552261902566568486e-01 2.396874508159025918e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.655359450561390888e-01 5.982731785904382704e-01 5.327583859338047567e-02 1.347457563906809819e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.415498385992741026e-01 8.835010562190068750e-01 8.936102620234499527e-01 8.642699246185095996e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.372371426452841936e-01 6.085388392622989029e-01 1.923750161816766280e-01 1.318075612326146118e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.508001583220621278e-03 6.807616807484672128e-01 5.744095397641270084e-01 9.639857644860385655e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.409721058255703596e-01 8.854594582161957605e-01 1.858256602462347029e-01 8.884364476712667269e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.940886745360743904e-01 3.086292289079762829e-01 7.811440246202009385e-01 2.234692939978575321e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.270133833735350048e-01 6.649765936557827661e-01 6.411970167797842457e-02 8.221394947386478913e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.775082172896981669e-01 4.768523809660785151e-02 5.046294534570819890e-01 9.345380479683925712e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.838444094382664762e-01 9.855146440300117661e-01 1.224341110272655353e-01 6.551342123956296337e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.866518888025566092e-01 8.897580446038276802e-01 7.727443736611026015e-01 1.386884656990774456e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.668283574686566073e-01 8.399560037478774888e-01 1.652483819285611721e-01 7.841627387239099578e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.042009750935658285e-02 9.537364211628881483e-01 5.223099269089469532e-01 1.176815735070046998e-02
0.000000000000000000e+00 -1.381551055796427280e+07 7.683745364548340007e-01 2.153473289777404487e-01 8.206775814426708893e-01 2.151401065898834730e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.126584116528087876e-02 2.231206661708499128e-01 6.947083249651873071e-01 2.006572113736482255e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.206884769562765580e-01 7.714450024379893023e-02 3.870059268366431438e-01 1.417769745456765040e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.068182701819560432e-01 8.947237517545272301e-01 1.753520398491422716e-01 1.778742545495912708e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.645045740488051411e-01 4.678426736528883412e-01 9.845079848092622710e-01 1.627362694098648532e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.210254668107985543e-01 8.053039055952136982e-01 5.532323013094009312e-02 9.176105766854458778e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.761983799676480444e-01 6.366551713996081441e-01 7.311109972352499708e-01 6.508932242256770806e-02
0.000000000000000000e+00 -1.381551055796427280e+07 2.088288661198396401e-01 2.742686583196718431e-01 4.534050353571198455e-01 2.313393323439650873e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.494756833663039464e-01 9.716419304195708095e-01 9.315332555031474726e-03 6.746842003626976059e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.427150291950126659e-01 1.531157107079110791e-01 2.569711012045949872e-05 4.733597860001433899e-01
0.000000000000000000e+00 -1.381551055796427280e+07 6.842133945233273007e-01 3.946580221387052667e-01 7.538739804297001079e-01 3.250763479839202663e-02
0.000000000000000000e+00 -1.381551055796427280e+07 2.744109660725679856e-01 2.505581547349650107e-01 2.919512273952328263e-01 2.060251022722108249e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.101941202101040629e-01 3.291610904923643055e-01 9.248357651260947776e-01 5.014624071988773579e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.996490417563810293e-01 9.279689565598103762e-02 3.768306567999630818e-01 3.193988129492708605e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.307695001696049131e-01 3.269037104307350727e-01 4.665225449492854670e-01 9.840476157211558439e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.373342546190706059e-02 1.849517466974690549e-01 6.617104175867524196e-01 5.270288019237234778e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.501222231321307943e-01 3.507603446220208809e-02 9.048039516072319266e-01 1.670946916839310958e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.613397821443763869e-01 4.705795537766376269e-01 1.236557850273628523e-01 8.413389912198765419e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.291807866313546160e-01 5.758225638261792456e-01 7.710718364894523225e-01 1.712281043334209496e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.537105422343955974e-01 9.896639792941073210e-01 9.484181122610318981e-01 9.299714251983162150e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.964990663054026143e-02 7.902703541672146947e-01 8.380970993075083086e-01 7.065297118647420049e-01
