weight logl k1 k2 k3 k4 k5
0.000000000000000000e+00 -1.381551055796427280e+07 1.148279165183725414e-01 7.959040419973308911e-01 9.345321979305902804e-01 9.425060804821261407e-02 3.436588751103812900e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.534258404875205040e-01 2.269718089584478182e-01 1.396779277164033051e-01 1.986597533335022758e-01 5.402085908120263236e-01
0.000000000000000000e+00 -1.381551055796427280e+07 7.855677200129280724e-01 1.381939988636582406e-02 8.806394507978049235e-01 9.255877187016807728e-01 7.085342348815947267e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.106440853474657926e-01 2.417949995817494369e-01 9.667830639258495617e-01 8.446024591377160329e-01 9.250686835509449590e-01
0.000000000000000000e+00 -1.381551055796427280e+07 3.929556197619284985e-01 3.953726218415158922e-01 8.037238691804204915e-02 1.232757540867472912e-01 8.612933861946570069e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.314584892553087414e-01 2.493131705644466845e-01 1.654485886591884336e-01 8.847869549456851557e-01 8.601115060491804076e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.380120354894604384e-01 3.642884676075760497e-01 8.546663117566566381e-01 8.719483624455697246e-01 4.799221263072639410e-03
0.000000000000000000e+00 -1.381551055796427280e+07 8.711614581642898036e-01 1.927471148165262882e-01 9.113700650590336183e-01 1.849059136237823919e-01 5.981431470102012149e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.868074326532113139e-01 7.605821320008404607e-01 9.184139244992111095e-01 8.569830343542484963e-01 1.727145214411412999e-01
0.000000000000000000e+00 -1.381551055796427280e+07 5.471214559057389071e-01 3.709536079067909942e-02 4.152412179003498460e-01 1.135330498824124179e-01 7.081788838071666481e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.735361967776944292e-01 8.937658378674731008e-01 1.731016898700395990e-01 6.387736251863986858e-01 8.355766930557300132e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.025510625649134200e-01 1.363442957156378865e-01 7.985428499495306198e-02 4.445521269443583057e-01 5.352173594567261050e-01
0.000000000000000000e+00 -1.381551055796427280e+07 1.942365674354032956e-01 6.597930482353420167e-02 5.357066022027809904e-01 1.012068232483709362e-01 9.226413975928683397e-01
