k1 k2 k3 k4
6.343435041728051615e-02 -9.464292471901766812e-03 2.193459059909114162e-03 -1.133960808310061075e-03
6.456895374324575498e-02 -9.128658396215669213e-03 6.281701147386742345e-04 -1.937312533348417576e-03
6.401450548957454689e-02 -8.685632118545089098e-03 1.803456145575241254e-03 -3.158932635163036462e-04
6.417369854084653547e-02 -1.053600352621711367e-02 2.149126979185303488e-03 -9.416398146323834428e-04
6.302201672839136126e-02 -8.852910411618758468e-03 7.929646801351220020e-04 -2.035726141649915610e-03
6.372470136998734103e-02 -8.815279400256517683e-03 3.335779072662983791e-03 -2.080613351245763631e-04
6.251157957104311325e-02 -8.690896409186049665e-03 2.993228746252629691e-03 -1.314144782969262071e-04
6.407697444463106295e-02 -8.224017887485252087e-03 1.683702687443056067e-04 -1.184415955616052729e-03
6.288673981858247664e-02 -1.015086552031538303e-02 2.776296344201706345e-03 -4.165293423492449909e-04
6.482933980854849176e-02 -8.314966497776007937e-03 2.340422910289421954e-03 -4.285520700259282112e-04
6.450161377735716406e-02 -9.112279996971256457e-03 3.130197252805902441e-03 -2.324439487436019691e-03
6.534970301543133187e-02 -7.163815101644016581e-03 2.829767956868026180e-03 -1.037945839453394137e-03
6.362464176272417116e-02 -9.206115694766814350e-03 3.233596018546142092e-03 -5.291597867580211112e-04
6.429813022679184420e-02 -9.719817741719927184e-03 2.447265820977609363e-03 -7.032551834983830075e-04
6.372683923023966801e-02 -1.021380141703034927e-02 2.329966477087580534e-03 -5.613737941340818383e-04
6.289116463240848609e-02 -1.000118394026636159e-02 3.183874117850066243e-03 -2.924988180982301955e-04
6.489540378872535320e-02 -9.538231362330507057e-03 2.048642009945783604e-03 -3.685797905442211864e-04
6.291200847135394736e-02 -8.901020792341035603e-03 3.944498707391622117e-03 -2.576622547348916825e-04
6.354780758686429110e-02 -8.245699594372796204e-03 2.556326070901282499e-03 -8.675505182653697744e-05
6.237227333172343235e-02 -9.705924806036200780e-03 1.934727841425315509e-03 -1.364335695843432728e-03
6.401932542031163464e-02 -1.113976350513029567e-02 2.103368804717689611e-03 -1.368107103525278978e-04
6.442186688907661218e-02 -8.234903380758024083e-03 2.076770448976514305e-03 7.677438539364506154e-04
6.368650223453706238e-02 -9.015343954808213711e-03 2.950101003512742293e-03 -2.038722150653954346e-03
6.361262810451029370e-02 -8.724073022294762114e-03 2.743812363572836754e-03 2.026878879562571401e-04
6.388514340200610042e-02 -1.019724988689853229e-02 8.492111567690169283e-04 -1.027482497140713713e-03
6.400866784019651479e-02 -8.125421061348656049e-03 1.659148831136936231e-03 -1.310095236560462895e-03
6.442667547352320945e-02 -8.917853198737266118e-03 2.994986252729606169e-03 4.251961101155304901e-04
6.392654062341440735e-02 -1.007264140125949115e-02 2.209250481107871700e-03 -6.109418061145538426e-04
6.283274113959605445e-02 -1.030250174709809730e-02 1.518852664183723000e-03 -1.533972157916826951e-03
6.048673131416473780e-02 -1.036669017586208663e-02 2.374090639648468448e-03 -1.371225721746388571e-03
6.435070970494757847e-02 -1.078719261059828127e-02 1.221380569537397487e-03 -2.678217176341507466e-03
6.423052273941598500e-02 -8.214025403262409375e-03 1.454413334000287383e-03 1.735915799534748505e-04
6.379652677850208842e-02 -9.125262459643304624e-03 1.878575818955077747e-03 -1.047611836058698342e-03
6.406409021181727614e-02 -1.012927009170598580e-02 3.030990529402227684e-03 -6.898902038101201173e-04
6.404309916746050990e-02 -7.698674830017487869e-03 3.476861329824137981e-03 1.898224528739944628e-04
6.399965014070674307e-02 -8.998218776827729415e-03 2.922422289669726614e-03 -1.529992660930387660e-03
6.370608951928621866e-02 -9.927823388359555135e-03 2.210127822186880309e-03 -1.392662622933679706e-03
6.192732380554058502e-02 -1.035751129461645603e-02 2.952168779181627012e-03 -8.329126865463110096e-04
6.223393370856297735e-02 -1.102984033979663436e-02 1.433986416913016204e-03 4.209753450499925664e-04
6.315463724446207516e-02 -9.505358192305871090e-03 3.997717167931624793e-03 1.230774774490142609e-03
6.340344800238872924e-02 -9.752543725755083437e-03 2.805179729159751334e-03 -8.559992729030574399e-04
6.407748531519114055e-02 -8.594384786466749415e-03 3.480106436493907163e-03 -6.137973683596198438e-04
6.252795797760490881e-02 -1.009102039925741101e-02 2.025099410149139301e-03 -5.380779880410080374e-04
6.292264552808540801e-02 -9.654395915858982047e-03 2.541080496755901419e-03 -6.371580549524857862e-04
6.397009035342071659e-02 -7.763313891264070343e-03 1.731174216484679396e-03 -2.135946907439179032e-04
6.384480451269686219e-02 -9.986992488305881932e-03 2.884301629852398241e-03 2.580884345088491072e-04
6.537397538443368017e-02 -9.535761146607438232e-03 3.652306349090722604e-03 8.649166236230909632e-04
6.391219898984265568e-02 -9.721115524012877152e-03 2.202109811421618102e-03 -2.256790900142163769e-03
6.414930328600296217e-02 -8.728147006995146118e-03 3.013342881666436490e-03 -2.876004998425968351e-04
