weight logl k1 k2
0.000000000000000000e+00 -3.617821698112244904e+07 9.300162658977703667e-02 -6.808248019529172801e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -6.718928268289632577e-02 -9.654105035825631675e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -6.804275384553512551e-02 -9.957973856279044023e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -8.056531018636006736e-02 -8.158435023703483613e-02
0.000000000000000000e+00 -3.617821698112244904e+07 9.887622847539401238e-02 -7.312665052490552320e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -6.505872989176772481e-02 -9.434442821121327705e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -8.417065184566839553e-02 -8.775760964805459641e-02
0.000000000000000000e+00 -3.617821698112244904e+07 9.701703648744741670e-02 -7.953151886751182176e-02
0.000000000000000000e+00 -3.617821698112244904e+07 7.604916936830716234e-02 -8.669040667683856893e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -7.727463227623312947e-02 -8.683999855248457356e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -8.104960099083136082e-02 -9.009575461378999117e-02
0.000000000000000000e+00 -3.617821698112244904e+07 9.274137234283585940e-02 -9.781805157744059842e-02
0.000000000000000000e+00 -3.617821698112244904e+07 -8.863508035328170054e-02 -8.694897446994472034e-02
0.000000000000000000e+00 -3.617821698112244904e+07 9.356985177212934213e-02 -8.043602231879426467e-02
0.000000000000000000e+00 -3.617821698112244904e+07 6.616452823629007107e-02 -9.554113527279112228e-02
0.000000000000000000e+00 -3.617821698112244904e+07 9.886474138704937076e-02 -9.711575645865702655e-02
0.000000000000000000e+00 -3.621554113988009049e+05 -9.702321179640126247e-02 -5.413758218186246612e-02
0.000000000000000000e+00 -3.562603447246658034e+05 -7.771084525299563894e-02 -7.467871734939267314e-02
0.000000000000000000e+00 -3.536796962445330573e+05 -5.951858693413039636e-02 -9.447612652065279226e-02
0.000000000000000000e+00 -3.465910969245656743e+05 -9.798751380252290755e-02 -4.064806510507745774e-02
0.000000000000000000e+00 -3.463583513106032624e+05 -7.851435889831466508e-02 -6.743162631451418698e-02
