weight logl k1 k2 k3 k4 k5
0.000000000000000000e+00 -3.978867040693712234e+07 3.281818481473966487e-02 8.645581183738773601e-03 -8.570979092540775834e-02 8.426940993537015978e-02 -4.182682278058942604e-02
0.000000000000000000e+00 -3.978867040693712234e+07 5.971502427338129526e-02 -6.800972044212238998e-02 -9.554036572631777191e-02 7.566605968626391454e-02 9.656367690034731166e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -5.390005037593639803e-02 6.702152075652664798e-02 9.227042654965472712e-02 4.474464240042205776e-02 -6.843586071056695364e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -3.733327571658306976e-02 3.869630088470984997e-02 9.896585281335099071e-02 -8.685390561123235154e-02 5.440187629346199261e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -9.116690174209070296e-02 5.102071343318512198e-02 9.182106978433532407e-02 2.096444019194620978e-02 4.995044835426409868e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -4.231528773415944855e-02 9.594058023660920198e-02 8.429857436377644064e-02 -8.085417464464753068e-02 -9.449391489324808491e-02
0.000000000000000000e+00 -3.978867040693712234e+07 4.698824296856968230e-02 5.125546675165498778e-02 -6.281489690353500577e-02 6.238214073708578389e-02 -6.930552688445970611e-02
0.000000000000000000e+00 -3.978867040693712234e+07 1.316486410005039687e-02 -5.727859584084363243e-02 -3.497101013600732722e-02 -4.430569483489368854e-03 -9.907176569211764705e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -8.672093402867267486e-02 -6.938165047749654535e-02 5.172139709506112792e-02 -5.595767732954275847e-02 -8.927647568943958278e-03
0.000000000000000000e+00 -3.978867040693712234e+07 -6.251041204732721290e-02 -6.408453699373534151e-02 -3.743213533482457611e-02 -4.186187099775313947e-02 -7.985133727117510460e-05
0.000000000000000000e+00 -3.978867040693712234e+07 -3.494916278083418093e-02 -7.605980491823086109e-02 -8.160127580369372358e-02 3.955490255392110632e-02 -8.255858970135383779e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -9.736508777325394992e-02 -7.859637416592545056e-02 3.759135684373135500e-02 3.427481135221857600e-02 3.782636535377667530e-02
0.000000000000000000e+00 -3.978867040693712234e+07 9.672466407831695201e-02 3.137536351162534265e-02 -1.660980088719125891e-02 -7.495134166906891604e-04 -9.924447800132354947e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -2.699470562184709543e-02 -5.729360905176048707e-02 -5.052821312272226528e-02 5.158555369151276992e-02 -9.758457677803898667e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -8.474779920794733856e-02 -9.718677843296229246e-02 -2.096924920479366350e-02 -4.864393954981543339e-02 6.552110307939676415e-02
0.000000000000000000e+00 -3.978867040693712234e+07 7.681208703483430322e-02 -4.185879061025530451e-02 -6.480654267362440102e-02 -8.922964619338530357e-02 8.359020980650799792e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -6.875005302505517168e-02 -4.559673955868481787e-02 5.529073747633114766e-02 -4.513670121198918445e-02 -8.462366344645676219e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -7.140763441369027409e-02 -5.552429443180226937e-02 -9.718019569587151019e-02 2.290844045405342200e-02 5.328850965954995411e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -7.094066318201530663e-03 3.462743283420349760e-02 -8.782176302310013005e-02 -8.106038080838712245e-02 -9.964246092633266549e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -9.644028018093649124e-02 -4.536238979034617341e-02 -6.201930789368764046e-02 -5.908817489026126080e-02 1.339377171477088013e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -9.768920513991644072e-02 -8.196078147615547260e-02 2.773982348313680513e-02 -2.351302909846848810e-02 -7.502732525670813279e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -8.760662802448467013e-02 8.821165849403558856e-02 -9.212847142887924112e-02 -4.830219352899052521e-02 1.396864981956810747e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -7.376821955661819197e-02 -3.489021914021091242e-02 7.854678301793691086e-02 -3.201157869124807154e-02 -9.854505710832389687e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -9.527832651678072584e-02 9.932168291366930135e-02 -7.020253838634234189e-02 4.658575781122814563e-02 7.890573791290234063e-02
0.000000000000000000e+00 -3.978867040693712234e+07 7.439664238459209322e-02 -8.672390117082458272e-02 8.326028670718152447e-02 7.802322039012574151e-02 3.641089212568227040e-04
0.000000000000000000e+00 -3.978867040693712234e+07 4.049601769840815990e-02 -9.100322274064120975e-02 6.284788463051688145e-02 -5.073561010250467185e-02 -2.723323113993650346e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -6.890668894486084994e-03 -9.836246408932954044e-02 4.475367475698249775e-02 -6.383366841725535146e-02 -5.403745939263654430e-03
0.000000000000000000e+00 -3.978867040693712234e+07 -6.307361017464083175e-02 -1.368478748745612095e-02 9.925820343644906063e-03 -5.695309523297856225e-02 -8.892877968256113208e-02
0.000000000000000000e+00 -3.978867040693712234e+07 6.866368845706552482e-02 9.744811410113943251e-02 8.040682585470290689e-02 -5.009905536669881365e-02 -7.288938378293617626e-02
0.000000000000000000e+00 -3.978867040693712234e+07 -4.773391205845996244e-02 1.782568645353224679e-02 9.375276739814028537e-02 5.086347739528554457e-02 -9.669522468294669548e-02
0.000000000000000000e+00 -3.978867040693712234e+07 6.706498802268009984e-02 2.849681306432125250e-02 -4.053357684001073630e-02 4.478828618075605950e-02 -5.288083968480792457e-02
