k1 k2 k3
6.509437312925606123e-02 -1.154931356088290118e-02 2.722325832647906618e-03
6.267842889428446029e-02 -1.218423321614277299e-02 1.111357531374437824e-03
6.351287804130018033e-02 -9.541271823709104871e-03 3.020336804226378402e-03
6.329199187843798091e-02 -9.819094144991352691e-03 1.089469588726355020e-03
6.341011737080023969e-02 -1.084452333627773657e-02 2.594467424816698786e-03
6.330406592273027377e-02 -1.179966301597522305e-02 7.846089110481180295e-04
6.446395760910128558e-02 -1.062643364083613873e-02 2.188242462237477426e-03
6.422978813482690952e-02 -1.200352584182302895e-02 1.908941091337393314e-03
6.564573637515053184e-02 -1.134633036746303392e-02 3.336685911962317119e-03
6.405391940629623360e-02 -1.102501142584082217e-02 3.681068758271524577e-03
6.349785023088969083e-02 -1.066894591035209838e-02 3.962772945974718519e-03
6.313379385946418787e-02 -1.294117180948638202e-02 1.937878592719433080e-03
6.425397742345437258e-02 -1.022782913733116805e-02 1.433534495875826709e-03
6.421917697895077048e-02 -9.778074055058941227e-03 4.715813181488753836e-03
6.355998062132869886e-02 -9.903914081491257959e-03 1.802876923370597129e-03
6.251069888963259324e-02 -1.174940914004303505e-02 3.413925273395429505e-03
6.455423462870688023e-02 -1.083634372360499365e-02 3.601741963035018368e-03
6.331669616504240206e-02 -1.146708531092287264e-02 3.049180161719289295e-03
6.182270038016193792e-02 -1.063439841554811305e-02 2.177946683450837639e-03
6.375036940267761465e-02 -1.125809347788581105e-02 1.076359004379939810e-03
6.349785023088969083e-02 -1.066894591035209838e-02 3.962772945974718519e-03
6.218762163983945768e-02 -1.095761825830798841e-02 2.168128306563238406e-03
6.342646477115440606e-02 -1.233813614329640207e-02 4.755268350989647064e-03
6.369176156390954358e-02 -1.107035547754738058e-02 3.873993810399878335e-03
6.426881942909254408e-02 -1.133911481910108987e-02 2.226664789922755405e-03
6.348987684542692356e-02 -9.865459338422255531e-03 3.892790926650763206e-03
6.540543342231497359e-02 -9.863531782386344982e-03 1.467844038684384955e-03
6.493986780104474277e-02 -9.540021240824841930e-03 2.013732527344672119e-03
6.221068945188965027e-02 -1.300658448269688405e-02 2.368224834508533827e-03
6.256996553532684358e-02 -1.146199071040136797e-02 2.945173128001285501e-03
6.275972061394766155e-02 -1.053793445548693863e-02 2.996302660919922256e-03
6.256919987237899439e-02 -8.695070484047343062e-03 5.784979193889733251e-03
6.357715836128960407e-02 -1.064529652993456699e-02 2.488730138769976175e-03
6.233021681327674535e-02 -8.855401504196669382e-03 1.531033584476218512e-03
6.593385311850383235e-02 -1.099961804630375517e-02 2.621775493743053187e-03
6.391420800474667541e-02 -1.113287178629360219e-02 3.289159285969622815e-04
6.446840705024689533e-02 -1.280581959885079835e-02 2.647499309095982523e-03
6.354300455195996400e-02 -1.001150703991438018e-02 4.513823863739691022e-03
6.599992527344297755e-02 -9.634943860016828565e-03 8.198199781177112344e-04
6.510082362124713917e-02 -1.069179839808617749e-02 1.304752926469185392e-03
6.407121069760346455e-02 -1.158348122648343581e-02 2.284632811976258782e-03
6.255114753258869675e-02 -1.102313567893364876e-02 2.784904338765256671e-03
6.493986780104474277e-02 -9.540021240824841930e-03 2.013732527344672119e-03
6.349823336672305585e-02 -1.140362773610961722e-02 2.842928697951746519e-03
6.430274001750155288e-02 -1.324368475834759862e-02 1.685034490199702195e-03
