weight logl k1 k2 k3
0.000000000000000000e+00 -9.044554245280610397e+06 -6.204290635793490577e-02 -3.641247281175739869e-02 -6.701169015615866809e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -7.092401272921565469e-02 -8.695476953065006676e-02 -8.376714702295891268e-02
0.000000000000000000e+00 -9.044554245280610397e+06 9.491236721924356523e-02 -5.190961934304758746e-02 9.935750797706019433e-02
0.000000000000000000e+00 -9.044554245280610397e+06 9.730394157809627020e-02 -1.330249335406637201e-02 8.970402896731174969e-02
0.000000000000000000e+00 -9.044554245280610397e+06 7.080854003613257230e-02 -9.781524275217599873e-02 8.130911553253489243e-02
0.000000000000000000e+00 -9.044554245280610397e+06 8.963224624366170068e-02 -4.330963318416936048e-02 7.196942699774291907e-02
0.000000000000000000e+00 -9.044554245280610397e+06 5.536654006352828561e-02 -9.324464500923755617e-02 9.031215588002833305e-02
0.000000000000000000e+00 -9.044554245280610397e+06 9.784769305058513278e-02 -6.762011381099139462e-02 1.283675993523275549e-03
0.000000000000000000e+00 -9.044554245280610397e+06 9.319276418899011261e-02 -5.922557852315473575e-02 8.286333682599755779e-02
0.000000000000000000e+00 -9.044554245280610397e+06 5.161271962378152778e-02 -5.270087776898271792e-02 7.334868295240978830e-02
0.000000000000000000e+00 -9.044554245280610397e+06 6.324430158229296661e-02 -5.888728886554064901e-02 6.202385633512869090e-02
0.000000000000000000e+00 -9.044554245280610397e+06 9.448317971432604323e-02 -5.761035631048586070e-02 3.277706388877682508e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -7.561318049089715831e-02 -8.453822775526281808e-02 -7.826433988174828771e-02
0.000000000000000000e+00 -9.044554245280610397e+06 9.517940372985203568e-02 -7.948927679320211270e-02 3.247941250238328692e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -8.123809278141554124e-02 -3.819440253813917441e-02 -7.609657872102389142e-02
0.000000000000000000e+00 -9.044554245280610397e+06 9.206279775441961188e-02 -6.322217766079141210e-02 2.045410992791496518e-02
0.000000000000000000e+00 -9.044554245280610397e+06 6.032592589869931188e-02 -7.307106595389301074e-02 7.421650917663030755e-02
0.000000000000000000e+00 -9.044554245280610397e+06 8.294217055265407090e-02 -6.179815445249046274e-02 8.322037557538375374e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -9.668279558282218134e-02 9.714880777913978416e-02 5.877710627241825025e-02
0.000000000000000000e+00 -9.044554245280610397e+06 8.936629269175924706e-02 6.436485518212239909e-02 -8.629393484221103972e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -6.667289880177615369e-02 -9.228998056299027308e-02 -8.957899903981073053e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -7.761385474754740887e-02 8.786043318051522943e-02 9.544096615802283301e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -7.130411507779883806e-02 -2.874115958784202729e-02 -7.819417606199499660e-02
0.000000000000000000e+00 -9.044554245280610397e+06 8.196109710672533355e-02 -6.395814105892694279e-02 1.791051262411431921e-02
0.000000000000000000e+00 -9.044554245280610397e+06 8.418231558187744268e-02 -4.326241594642690758e-02 5.123599313080823281e-02
0.000000000000000000e+00 -9.044554245280610397e+06 6.034450583323894279e-02 -3.791748135224422278e-02 7.832849576643788336e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -6.307986254659689318e-02 -8.939031625833081252e-02 -2.747310976055061804e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -2.890515242826163789e-02 -8.192961977176678456e-02 -9.337358358664937796e-02
0.000000000000000000e+00 -9.044554245280610397e+06 5.071238983516709875e-02 9.909347367859555611e-02 -7.559168691124684702e-02
0.000000000000000000e+00 -9.044554245280610397e+06 5.781497345318853398e-02 -7.313464603501432237e-02 9.281413546257560876e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -7.118976964535322915e-02 -9.700939939664671163e-02 -9.373537640596961429e-02
0.000000000000000000e+00 -9.044554245280610397e+06 8.322619829652369572e-02 -9.245422776785439112e-02 4.420168448116326698e-02
0.000000000000000000e+00 -9.044554245280610397e+06 8.782787345437617632e-02 -5.516461796367504861e-02 4.195254136512260867e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -6.649104614030504345e-02 -5.652165889768195201e-02 -4.458103932887702570e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -9.259127320356558277e-02 -1.232080938114277213e-02 -5.725063665290011650e-02
0.000000000000000000e+00 -9.044554245280610397e+06 4.731837328549598487e-02 -7.436308585278619820e-02 7.094715026248962775e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -8.546402400693442480e-02 -5.679155195583261012e-02 -5.856020328604270159e-02
0.000000000000000000e+00 -9.044554245280610397e+06 7.932665767357785502e-02 -3.725978127608775559e-02 8.855917140569610768e-02
0.000000000000000000e+00 -9.044554245280610397e+06 2.327877655075978602e-02 -6.124705460313255995e-02 9.252523105120694091e-02
0.000000000000000000e+00 -9.044554245280610397e+06 7.884067005360606561e-02 4.398738920747749526e-02 -9.972342546700654897e-02
0.000000000000000000e+00 -9.044554245280610397e+06 5.198192262418818710e-02 -2.210859506385987050e-02 8.667869364720029446e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -7.321035105747263072e-02 -7.505036774352438766e-02 -8.350280064689288850e-02
0.000000000000000000e+00 -9.044554245280610397e+06 -9.210058228234885291e-02 -4.560533644346198567e-02 -6.646356803167974281e-02
0.000000000000000000e+00 -9.044554245280610397e+06 7.261347620128269509e-02 -3.536094952337776043e-02 8.046369293476898776e-02
0.000000000000000000e+00 -9.218807135053914681e+04 -9.841113921780578200e-02 5.109654296362722836e-02 7.431159482560906193e-02
0.000000000000000000e+00 -9.159658346374319808e+04 -8.676662740770971216e-02 9.097320518731374928e-02 5.429662162196591257e-02
0.000000000000000000e+00 -8.992637498074964969e+04 -5.054863675586265814e-02 -6.790707479695134996e-02 -4.062241200365959704e-02
0.000000000000000000e+00 -8.989883515669885674e+04 -8.752615896768672910e-02 4.533806482704211271e-02 7.987770971002983167e-02
0.000000000000000000e+00 -8.937329898134923133e+04 -9.203674600280171980e-02 -5.233929162448316963e-03 9.611276078915276244e-02
0.000000000000000000e+00 -8.910581889753161522e+04 -9.499739941692098011e-02 -3.356770251865469346e-02 9.810318542856624746e-02
0.000000000000000000e+00 -8.876185164242409519e+04 -9.228248703267027953e-02 -9.097515373769092528e-02 6.950801146202087444e-02
0.000000000000000000e+00 -8.850575610737664101e+04 -8.805215471310197384e-02 9.682215889500664363e-02 3.793347621641857126e-02
0.000000000000000000e+00 -8.793856153005639499e+04 -8.257252652204688514e-02 -3.160334974827620769e-02 -4.044617619051791430e-02
0.000000000000000000e+00 -8.733482810619265365e+04 -9.992837838708437670e-02 -3.194455262181956912e-02 8.235964742898302382e-02
0.000000000000000000e+00 -8.727256759620265802e+04 -7.510463756013921466e-02 2.723283905505274882e-02 9.090745750709147699e-02
0.000000000000000000e+00 -8.697407870029901096e+04 -9.040017164906569147e-02 -3.070751726958624583e-02 9.360953722078119155e-02
0.000000000000000000e+00 -8.693733065056278429e+04 -8.091707103581796678e-02 -9.433294087076773971e-02 8.978909795779052572e-02
0.000000000000000000e+00 -8.683157558020726719e+04 -3.721161568215623772e-02 5.752487217110743845e-02 9.764181798871479634e-02
0.000000000000000000e+00 -8.618602202640823089e+04 2.207090264003164215e-02 8.942953179660034779e-02 -9.183958274848968983e-02
0.000000000000000000e+00 -8.577538911915331846e+04 -8.156537917723327702e-02 5.854822148691271599e-02 6.183121257153148531e-02
0.000000000000000000e+00 -8.551884663888117939e+04 -8.472732799575849461e-02 -3.577865614786981951e-02 9.309781246800441501e-02
0.000000000000000000e+00 -8.529892279446755128e+04 -7.797527113271551791e-02 -1.907531087089046895e-02 -5.295799285055409478e-02
0.000000000000000000e+00 -8.481931278650704189e+04 -9.247677440387745695e-02 9.653826203139434514e-02 9.226451675538219210e-03
0.000000000000000000e+00 -8.436404942346362805e+04 -7.734336962535370841e-02 -2.791357445452323505e-02 9.453162347092744500e-02
0.000000000000000000e+00 -8.430182193690662098e+04 -7.380391169694462683e-02 -1.806538534998977652e-02 9.631092556863113385e-02
0.000000000000000000e+00 -8.420636520090117119e+04 -5.355710710505093286e-02 -4.956152147008401759e-02 -4.909393745965060646e-02
0.000000000000000000e+00 -8.419270997498650104e+04 -7.683578568645491047e-02 5.426748632366332203e-02 6.055603170939705127e-02
0.000000000000000000e+00 -8.401776273898003274e+04 -6.708225486152177841e-02 -8.991225804252633846e-02 2.480115963062634599e-02
0.000000000000000000e+00 -8.382295469157067419e+04 -5.448920415809846429e-02 -7.556385772777901577e-02 -1.730797897163874333e-02
0.000000000000000000e+00 -8.359039251446064736e+04 -8.873879895521352701e-02 3.430639549473357697e-02 5.604979257594466802e-02
0.000000000000000000e+00 -8.350149631544682779e+04 -7.083137131629442529e-02 1.821258997424982096e-02 -8.934810081333491305e-02
0.000000000000000000e+00 -8.334181903113704175e+04 -8.460823981574772112e-02 1.763853257931316532e-02 6.686280606029504359e-02
0.000000000000000000e+00 -8.330116644720365002e+04 -1.816016069064962934e-02 9.993924581162486054e-02 -8.507456115666421625e-02
0.000000000000000000e+00 -8.328121397546341177e+04 -7.257996942670628948e-02 -1.830640007650870260e-02 9.157956985736040445e-02
0.000000000000000000e+00 -8.296449450340626936e+04 -9.637504049916807702e-02 1.744731983873630543e-02 4.643326516966883588e-02
0.000000000000000000e+00 -8.280531322242069291e+04 -2.821784593476055203e-02 7.819823610499351818e-02 7.205213277754277112e-02
0.000000000000000000e+00 -8.279941010543654556e+04 -8.224996789778878103e-02 7.812104643198838905e-02 2.403757440544256052e-02
0.000000000000000000e+00 -8.249253635354054859e+04 -9.788412799348576721e-02 -2.464204503865266571e-03 -1.392119052956453107e-02
0.000000000000000000e+00 -8.234499581698776456e+04 -2.069479829436768337e-02 5.928979154107477667e-02 9.051056453146236191e-02
0.000000000000000000e+00 -8.231593393627129262e+04 -3.813124468242173187e-02 -6.452442472501779269e-02 -4.656241366044755470e-02
0.000000000000000000e+00 -8.231522236224586959e+04 -9.766586048595699010e-02 4.236486355801247217e-03 -2.088310889392779035e-02
0.000000000000000000e+00 -8.231261169557167159e+04 -5.636153485589301404e-02 8.447155938304787282e-02 -9.297941458888420163e-02
0.000000000000000000e+00 -8.223205802757960919e+04 -9.382263010069678832e-02 7.020164662543401657e-02 7.250278270692828153e-03
0.000000000000000000e+00 -8.210819666677292844e+04 -7.600217291539784759e-03 -5.916769098815440053e-02 -8.643027878823816845e-02
0.000000000000000000e+00 -8.200540695556567516e+04 -6.409318106838707285e-02 2.227417703203597721e-02 -9.134118539370260359e-02
0.000000000000000000e+00 -8.185370892764205928e+04 -4.127011185019722334e-02 6.488575854131298226e-02 6.875242025351979702e-02
0.000000000000000000e+00 -8.171729068718064809e+04 -4.080373604978287244e-02 1.862465573920835116e-02 9.842431368067408592e-02
0.000000000000000000e+00 -8.164181259943891200e+04 -9.992431154546432825e-02 1.946490490361545145e-02 1.114651934466122374e-02
0.000000000000000000e+00 -8.163655927552940557e+04 -9.102315012100546665e-02 8.254021540909742272e-02 -3.587223190378001358e-02
0.000000000000000000e+00 -8.160027086395540391e+04 -9.447527584551757007e-02 8.221385882438078663e-03 3.253249383392181615e-02
0.000000000000000000e+00 -8.159522924014327873e+04 -7.113403686657011893e-02 9.870988496961011216e-02 -1.300633527259680011e-02
0.000000000000000000e+00 -8.157315715393428400e+04 -6.140132110252904951e-02 -1.832216316790083455e-02 9.236757045589844006e-02
0.000000000000000000e+00 -8.149887693207032862e+04 -9.490167808838474717e-02 4.068020955634873981e-02 -4.779075526767746773e-02
0.000000000000000000e+00 -8.149871231866943708e+04 -3.714899569464338858e-02 9.545450641088279453e-02 3.684628284031882250e-02
0.000000000000000000e+00 -8.142724681363810669e+04 -7.658649054753452479e-02 2.232939472694103755e-02 5.919069189137257658e-02
0.000000000000000000e+00 -8.141395903085955069e+04 -8.677323556268452809e-02 -3.007886772705124778e-02 1.471140771633364097e-02
0.000000000000000000e+00 -8.139370317438857455e+04 -7.928975445229693997e-02 2.901712095867167718e-02 5.192055022582242607e-02
0.000000000000000000e+00 -8.136068458444278804e+04 -8.350958102764488578e-02 8.320001497807280599e-02 -8.590869152753088933e-03
0.000000000000000000e+00 -8.133509941980430449e+04 -6.287645709825218088e-02 -8.360755265118829938e-02 3.689267578145685733e-02
0.000000000000000000e+00 -8.124581184804320219e+04 -6.459197672904068432e-02 -7.921310310359293283e-02 3.427840630164227798e-02
0.000000000000000000e+00 -8.121144454928630148e+04 -8.072717976818932772e-02 -4.540596127077598659e-02 2.825247324997712250e-02
0.000000000000000000e+00 -8.108103639689274132e+04 -4.938936039867552336e-02 6.541530888156221746e-02 5.600022124787376598e-02
0.000000000000000000e+00 -8.105520807314499689e+04 -9.016607590994554777e-02 6.798509970475005715e-02 -4.772634451723534177e-02
0.000000000000000000e+00 -8.100986052617305540e+04 -9.485006545476723505e-03 -6.965402268927936569e-02 -7.076691405922544420e-02
0.000000000000000000e+00 -8.098203597966035886e+04 -7.870291540819235321e-02 -4.120733361239732606e-02 1.027895265268999325e-02
0.000000000000000000e+00 -8.093395307723598671e+04 -2.778400857807665492e-02 -5.753767729965358207e-02 -6.142589434341175214e-02
0.000000000000000000e+00 -8.079477574191046006e+04 -5.224976138008095156e-02 9.721034449816309819e-02 8.379609441295829408e-03
0.000000000000000000e+00 -8.073891584876114212e+04 -7.925593522816323788e-02 -2.743857062202091635e-02 5.487239896210746593e-02
0.000000000000000000e+00 -8.068444132401137904e+04 -7.472368643402389765e-02 -9.753777200189439611e-03 -3.973778196479014341e-02
0.000000000000000000e+00 -8.055658056004892569e+04 -3.913870655110323477e-02 -9.340281112210167824e-02 8.991187932693259222e-02
0.000000000000000000e+00 -8.053151256852291408e+04 -4.563608729054569046e-02 -6.934928903079920492e-02 9.996198423935484523e-02
0.000000000000000000e+00 -8.045056152027488861e+04 -3.439326033751070877e-02 1.319901155764877099e-02 9.867185905500264198e-02
0.000000000000000000e+00 -8.039198307397194731e+04 -5.425722917217785934e-02 4.581506750687294738e-02 6.148789476212690452e-02
0.000000000000000000e+00 -8.037310243833575805e+04 -8.103705187501526741e-02 -3.005045156624888691e-02 1.689503917278842304e-02
0.000000000000000000e+00 -8.037116557590039156e+04 -6.179590926335929574e-02 1.538549334990743644e-02 -7.791946993797037313e-02
0.000000000000000000e+00 -8.036918371363698679e+04 -8.867721839812310602e-02 2.258055963830360446e-02 -3.135020719422976221e-02
0.000000000000000000e+00 -8.026060900709620910e+04 -8.883211428431468659e-02 2.505149145816162881e-03 9.928265708583905447e-04
0.000000000000000000e+00 -8.023208821355382679e+04 -5.154365773483067514e-02 -8.811930942584614290e-02 2.596258954600397240e-02
0.000000000000000000e+00 -8.012874811716843396e+04 -3.511408178940314539e-02 4.736010847017341208e-02 7.575953645199370867e-02
0.000000000000000000e+00 -8.011863713194454613e+04 -3.902397145921326221e-02 -8.445707309985524269e-02 9.354038988509524866e-02
