P,N,S,W(1),W(2),W(3),W(4),W(5)
0.2,16,16,0.19720(56),0.04844(32),0.03111(27),0.03531(24),0.04399(23)
,,24,0.20151(44),0.05014(31),0.03150(27),0.03588(24),0.04466(23)
,,32,0.20688(71),0.05279(33),0.03250(27),0.03627(25),0.04480(23)
,24,16,0.18633(31),0.03648(18),0.01522(15),0.01498(13),0.01772(13)
,,24,0.19048(26),0.03914(18),0.01619(15),0.01541(13),0.01835(12)
,,32,0.19626(35),0.04076(19),0.01656(16),0.01549(14),0.01850(12)
,32,16,0.18234(22),0.03325(13),0.01070(11),0.00875(10),0.010341(91)
,,24,0.18740(25),0.03521(15),0.01139(12),0.00888(11),0.01047(10)
,,32,0.19162(22),0.03640(14),0.01173(11),0.009082(98),0.010560(92)
,64,16,0.17677(13),0.029452(90),0.006087(77),0.002606(65),0.002500(60)
,,24,0.18392(22),0.03170(12),0.006751(89),0.003008(82),0.002580(71)
,,32,0.18703(16),0.032779(98),0.006974(80),0.002905(67),0.002640(62)
0.25,16,16,0.2227(41),0.05909(47),0.04191(39),0.04820(34),0.05954(32)
,,24,0.2257(11),0.06278(44),0.04272(36),0.04798(33),0.05964(31)
,,32,0.22946(87),0.06356(45),0.04280(37),0.04818(34),0.05931(32)
,24,16,0.20105(64),0.04231(37),0.02091(31),0.02186(28),0.02626(26)
,,24,0.21621(80),0.04765(40),0.02205(33),0.02212(28),0.02672(26)
,,32,0.21863(93),0.04878(39),0.02327(31),0.02226(29),0.02645(26)
,32,16,0.19751(38),0.03760(20),0.01382(17),0.01228(14),0.01447(13)
,,24,0.20707(68),0.04061(24),0.01455(19),0.01256(16),0.01503(14)
,,32,0.21059(38),0.04224(21),0.01556(17),0.01279(15),0.01490(13)
,64,16,0.18907(23),0.03132(15),0.00714(11),0.00350(10),0.003696(94)
,,24,0.19684(27),0.03479(17),0.00784(13),0.00382(12),0.00367(11)
,,32,0.20088(51),0.03603(16),0.00811(13),0.00398(12),0.00375(10)
