P,N,S,W(1),W(2),W(3),W(4),W(5)
0.2,16,16,0.31420(51),0.19824(28),0.18637(25),0.19100(22),0.19865(21)
,,24,0.31659(41),0.19991(30),0.18692(24),0.19110(22),0.19882(21)
,,32,0.32003(52),0.20061(29),0.18713(24),0.19126(22),0.19927(21)
,24,16,0.33554(37),0.21962(20),0.20452(17),0.20506(15),0.20854(14)
,,24,0.33592(29),0.22067(19),0.20486(17),0.20536(15),0.20895(13)
,,32,0.34119(37),0.22169(20),0.20528(17),0.20555(15),0.20885(14)
,32,16,0.32265(26),0.20719(14),0.19100(12),0.19007(11),0.19192(10)
,,24,0.32574(25),0.20918(16),0.19166(13),0.19041(12),0.19206(11)
,,32,0.32924(24),0.20992(14),0.19185(12),0.19072(11),0.192287(95)
,64,16,0.32819(16),0.21602(11),0.198914(93),0.196599(80),0.196673(80)
,,24,0.33471(53),0.21786(13),0.19951(12),0.19681(10),0.196764(92)
,,32,0.33630(20),0.21869(11),0.199764(96),0.196940(84),0.196834(77)
0.25,16,16,0.30670(34),0.19424(23),0.18135(19),0.18456(17),0.19108(16)
,,24,0.30748(33),0.19576(23),0.18229(19),0.18534(17),0.19154(17)
,,32,0.30880(33),0.19676(23),0.18264(19),0.18571(18),0.19191(16)
,24,16,0.29786(28),0.18699(20),0.17150(17),0.17095(15),0.17347(14)
,,24,0.30475(37),0.18914(21),0.17190(17),0.17158(15),0.17376(14)
,,32,0.30477(29),0.18926(22),0.17214(17),0.17185(15),0.17418(14)
,32,16,0.29571(16),0.18425(11),0.167607(92),0.166404(79),0.167424(75)
,,24,0.30153(20),0.18604(12),0.16829(10),0.166629(91),0.167586(88)
,,32,0.30259(16),0.18686(11),0.168547(90),0.166706(79),0.167646(75)
,64,16,0.29883(16),0.18903(11),0.171897(94),0.169310(87),0.169291(81)
,,24,0.30404(15),0.190567(90),0.172290(74),0.169675(74),0.169527(63)
,,32,0.30702(16),0.191836(92),0.172973(74),0.169992(67),0.169785(68)
