P,N,S,W(1),W(2),W(3),W(4),W(5)
0.2,16,16,0.13990(48),0.02331(27),0.00490(21),0.00277(19),0.00344(17)
,,24,0.14753(37),0.02590(26),0.00598(21),0.00303(19),0.00356(17)
,,32,0.14991(55),0.02700(26),0.00601(21),0.00315(19),0.00401(17)
,24,16,0.14023(36),0.02299(17),0.00422(14),0.00149(13),0.00146(11)
,,24,0.14921(25),0.02529(18),0.00494(14),0.00155(13),0.00181(11)
,,32,0.14864(33),0.02598(17),0.00490(15),0.00183(13),0.00155(12)
,32,16,0.14380(21),0.02357(13),0.00407(11),0.001061(97),0.000705(88)
,,24,0.15052(23),0.02533(15),0.00464(12),0.00098(11),0.000932(95)
,,32,0.15165(21),0.02624(13),0.00468(11),0.001279(93),0.000807(84)
,64,16,0.14602(14),0.023551(93),0.003613(78),0.000382(71),-0.000016(65)
,,24,0.15021(27),0.02512(12),0.004036(95),0.000452(80),0.000090(75)
,,32,0.15327(17),0.02607(10),0.004283(83),0.000645(72),0.000065(64)
0.25,16,16,0.13695(84),0.02376(27),0.00531(22),0.00275(19),0.00354(18)
,,24,0.14873(49),0.02639(27),0.00559(22),0.00311(20),0.00402(18)
,,32,0.15251(45),0.02780(28),0.00648(23),0.00347(20),0.00382(18)
,24,16,0.14656(39),0.02502(26),0.00480(21),0.00180(19),0.00157(17)
,,24,0.14711(50),0.02594(25),0.00530(21),0.00172(18),0.00172(16)
,,32,0.15323(41),0.02773(26),0.00584(21),0.00191(19),0.00167(16)
,32,16,0.14674(22),0.02455(13),0.00443(11),0.001313(97),0.000991(91)
,,24,0.15044(30),0.02625(15),0.00466(12),0.00118(11),0.001140(97)
,,32,0.15446(20),0.02732(14),0.00523(11),0.00139(10),0.000989(90)
,64,16,0.14836(18),0.02435(11),0.003799(84),0.000557(72),0.000081(67)
,,24,0.15468(17),0.02621(12),0.004421(95),0.000668(84),0.000378(76)
,,32,0.15678(25),0.02703(13),0.004685(96),0.000873(84),0.000263(75)
